Voyage ID,Year arrived with captives,Total disembarked (IMP),Total embarked (IMP),"Voyage duration, homeport to disembarkation (in days)",Outcome of voyage if ship captured,Flag of vessel (IMP),Rig of Vessel,Month voyage began,Month first disembarkation of captives,Broad region of captive disembarkation (IMP),Particular outcome,Outcome of voyage for captives,voyage_itinerary__imp_principal_region_slave_dis__name,voyage_itinerary__imp_principal_region_of_slave_purchase__name,voyage_itinerary__imp_port_voyage_begin__name,voyage_itinerary__imp_principal_port_slave_dis__name,voyage_itinerary__imp_principal_place_of_slave_purchase__name,voyage_sources,enslavers
29060,1599,167,199,0,Not captured,Portugal / Brazil,Navio mercante,0,1,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,nan,Lisbon,Cartagena,nan,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Noguera, Juan"
29061,1599,317,370,0,Not captured,Portugal / Brazil,Fragata,0,3,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,nan,nan,Cartagena,nan,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de Indias (Seville)|Archivo General de la Nacion (Bogota)","Captain: Aguiar, Francisco de"
29062,1599,188,225,0,Not captured,Portugal / Brazil,Navio mercante,0,3,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,nan,nan,Cartagena,nan,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Vaz de Lemos, Pedro"
29063,1599,154,207,1098,Not captured,Portugal / Brazil,Não,3,3,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,San Lucar,Cartagena,Cape Verde Islands,"  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: González, Domingo"
29064,1599,140,167,0,Not captured,Portugal / Brazil,Navio mercante,0,3,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Bight of Biafra and Gulf of Guinea islands,Lisbon,Cartagena,São Tomé,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Dominguez, Sebastian|Investor: Gómez Reynel, Pedro"
29065,1599,179,214,0,Natural hazard,Portugal / Brazil,Navio mercante,0,3,Spanish Mainland Americas,"Shipwrecked or destroyed, after disembarkation",Slaves disembarked in Americas,Spanish Circum-Caribbean,West Central Africa and St Helena,Lisbon,Cartagena,"West Central Africa and St Helena, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Munoz, Antonio|Captain: Martínez, Antonio"
29066,1599,204,244,583,Not captured,Portugal / Brazil,Navio mercante,8,3,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,Lisbon,Cartagena,Cape Verde Islands,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Duarte, Fernan|Captain: Arze, Hernando del"
29067,1599,167,199,188,Not captured,Portugal / Brazil,Navio mercante,10,4,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,Lisbon,Cartagena,Cape Verde Islands,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Alfonso, Esteban"
29068,1599,311,372,427,Not captured,Portugal / Brazil,Navio mercante,3,5,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,San Lucar,Cartagena,Portuguese Guinea,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Valenciano, Pedro"
29069,1599,228,272,311,Not captured,Portugal / Brazil,Navio mercante,8,6,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,San Lucar,Cartagena,Portuguese Guinea,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Historia de Puerto Rico, 1600-1650 (Seville, 1974)., n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Historia de Puerto Rico, 1600-1650 (Seville, 1974)., n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Piñero, Cristóbal"
